nombre_vsx,ra,dec,clase_variable
Gaia DR3 4685168858707787776,6e-05,-75.86906,L
Gaia DR3 2881873169572728832,0.00013,39.89248,ROT
Gaia DR3 4918216945285915648,0.00019,-59.55921,RR
Gaia DR3 566749663745310848,0.00038,81.91627,ROT
Gaia DR3 430093700005970048,0.00043,63.43314,ROT
ZTF J000000.13+620605.8,0.00056,62.10163,BY
Gaia DR3 4918001166129129856,0.0006,-60.05403,ROT
ZTF J000000.14+721413.7,0.00061,72.23716,EW
Gaia DR3 429380696763742208,0.00064,60.95235,ROT
ZTF J000000.19+320847.2,0.0008,32.14645,EW
ASASSN-V J000000.20+611509.3,0.00084,61.25259,SR
Gaia DR3 2875435765214277760,0.00091,34.71765,RS
ZTF J000000.26+311206.3,0.00109,31.20176,EW
Gaia DR3 4976777003302357376,0.00117,-50.24754,ROT
ZTF J000000.30+233400.5,0.00125,23.56682,EW
ZTF J000000.30+711634.1,0.00125,71.27616,EW
Gaia DR3 431630164426729984,0.0013,63.84205,S
Gaia DR3 420476855906119936,0.00144,55.14632,E
Gaia DR3 540279608502300160,0.00149,77.20848,ROT
ZTF J000000.39+605148.8,0.00163,60.86358,EW
Gaia DR3 432336600635741056,0.00174,66.2271,ROT
Gaia DR3 2448161702665513728,0.00186,-3.10316,ROT
Gaia DR3 422773185941443456,0.00189,58.81542,RS
ZTF J000000.51+583238.7,0.00215,58.54409,BY
Gaia DR3 4976496627837862528,0.00237,-50.96718,RS
Gaia DR3 2416042562836387968,0.0024,-15.58,L
Gaia DR3 429941452002367616,0.00243,62.3647,DSCT|GDOR|SXPHE
Gaia DR3 2313048662962014848,0.00248,-33.75989,ROT
Gaia DR3 2745400064049665536,0.00261,6.5025,ROT
Gaia DR3 429387160697391360,0.0027,61.01351,E
2MASS J00000063+6200437,0.00271,62.01222,SR
Gaia DR3 429380524965027712,0.00277,60.91501,RS
Gaia DR3 420373879769891968,0.00282,54.8778,ROT
Gaia DR3 531283816682461440,0.00283,71.61005,ROT
Gaia DR3 529137707423310720,0.00303,69.03806,YSO
Gaia DR3 423300814084659584,0.00306,59.93159,RS
Gaia DR3 2873859001116252544,0.00344,32.7292,ROT
Gaia DR3 431603741786766080,0.00378,63.64642,ROT
Gaia DR3 420522897956969088,0.00396,55.79888,S
Gaia DR3 395718465387284992,0.00402,52.38103,ROT
Gaia DR3 2848071429060149120,0.00419,22.80191,ROT
ZTF J000001.00+612832.8,0.0042,61.4758,EW
Gaia DR3 429387843589403520,0.00425,61.09246,S
Gaia DR3 2881853855104003072,0.00443,39.74496,ROT
Gaia DR3 2855148439947585792,0.00448,28.85976,RS
Gaia DR3 393455086340295296,0.00462,48.92217,ROT
Gaia DR3 422587883871590400,0.00483,57.43335,ROT
Gaia DR3 394020269679584384,0.00483,50.59188,DSCT|GDOR|SXPHE
Gaia DR3 528565308542337024,0.00487,67.29716,ROT
Gaia DR3 2738294337012305792,0.00499,0.63618,ROT
Gaia DR3 385013070417483776,0.00506,44.31749,DSCT|GDOR|SXPHE
Gaia DR3 395577315582816256,0.00517,51.58403,ROT
Gaia DR3 393455670455844224,0.00536,48.98235,ROT
Gaia DR3 393499616561834880,0.00567,49.55829,ROT
ZTF J000001.37+561504.9,0.00571,56.25137,EW
Gaia DR3 430084903913002880,0.00575,63.23776,ROT
Gaia DR3 431630847312297472,0.0058,63.90472,E
Gaia DR3 2873325012126723584,0.00603,30.48632,ROT
Gaia DR3 2421114128938991360,0.00606,-13.02896,RS
Gaia DR3 393359016508467968,0.00614,48.80437,ROT
Gaia DR3 386699686894598272,0.00617,45.78217,ROT
Gaia DR3 420943598593102848,0.00645,56.53653,VAR
Gaia DR3 4990275638835306880,0.00667,-47.17182,ROT
Gaia DR3 393923512656397184,0.00676,50.40212,ROT
Gaia DR3 528609284708285056,0.00687,67.85314,YSO
Gaia DR3 386567745499127040,0.00694,45.19886,VAR
Gaia DR3 2333293931909159680,0.007,-28.3847,S
ZTF J000001.74+614940.9,0.00729,61.82803,EB:
ZTF J000001.75+594739.4,0.00732,59.79428,SR
Gaia DR3 432193217452846464,0.00759,65.34921,ROT
Gaia DR3 423151280502941312,0.00778,58.98248,S
Gaia DR3 566853155277057152,0.00798,82.21104,ROT
Gaia DR3 2443167647836169216,0.008,-5.35731,ROT
ZTF J000001.92+554800.7,0.00804,55.8002,SR
Gaia DR3 393358879069517952,0.00807,48.77862,ROT
Gaia DR3 528598396970480640,0.00811,67.59177,YSO
Gaia DR3 2341739525536269440,0.00825,-20.46432,ROT
ZTF J000002.02+540550.8,0.00844,54.09746,RS
Gaia DR3 4995693752963069824,0.00849,-42.84342,RS
Gaia DR3 540429176442900864,0.00855,78.14494,RS
ASASSN-V J000002.09+733946.2,0.00863,73.66285,ROT
Gaia DR3 422599321363666944,0.00867,57.74705,S
Gaia DR3 2848099402182211712,0.00869,23.14849,ROT
Gaia DR3 4904777408501179648,0.00875,-62.16409,DSCT|GDOR|SXPHE
Gaia DR3 2882190309958127232,0.00893,40.71289,ROT
Gaia DR3 386568325318066432,0.00908,45.24958,DSCT|GDOR|SXPHE
ZTF J000002.20+480720.8,0.00918,48.12246,BY
